JIT:: Q:8, C:48, T:14.2496, F:10
JIT:: Q:1, C:48, T:1.15647, F:1
JIT:: Q:1, C:48, T:1.15397, F:1
JIT:: Q:2, C:48, T:1.3549, F:1
JIT:: Q:2, C:48, T:1.36405, F:1
JIT:: Q:3, C:48, T:1.91354, F:1
JIT:: Q:3, C:48, T:1.93669, F:1
JIT:: Q:4, C:48, T:1.64752, F:1
JIT:: Q:4, C:48, T:1.67562, F:1
JIT:: Q:5, C:48, T:2.31593, F:1
JIT:: Q:5, C:48, T:2.38124, F:1
JIT:: Q:6, C:48, T:31.8694, F:1
JIT:: Q:6, C:48, T:32.0529, F:1
JIT:: Q:7, C:48, T:21.6287, F:1
JIT:: Q:7, C:48, T:20.9507, F:1
JIT:: Q:8, C:48, T:3.3965, F:1
JIT:: Q:8, C:48, T:3.49037, F:1
JIT:: Q:1, C:8, T:1.48928, F:1
JIT:: Q:1, C:8, T:1.49827, F:1
JIT:: Q:2, C:8, T:2.57297, F:1
JIT:: Q:2, C:8, T:2.60363, F:1
JIT:: Q:3, C:8, T:4.39589, F:1
JIT:: Q:3, C:8, T:4.45193, F:1
JIT:: Q:4, C:8, T:3.00001, F:1
JIT:: Q:4, C:8, T:2.985, F:1
JIT:: Q:5, C:8, T:5.27992, F:1
JIT:: Q:5, C:8, T:5.2196, F:1
JIT:: Q:6, C:8, T:68.4298, F:1
JIT:: Q:6, C:8, T:66.591, F:1
JIT:: Q:7, C:8, T:46.5706, F:1
JIT:: Q:7, C:8, T:42.7924, F:1
JIT:: Q:8, C:8, T:7.91087, F:1
JIT:: Q:8, C:8, T:7.72751, F:1
JIT:: Q:1, C:1, T:5.27054, F:1
JIT:: Q:1, C:1, T:5.54722, F:1
JIT:: Q:2, C:1, T:14.2485, F:1
JIT:: Q:2, C:1, T:14.3079, F:1
JIT:: Q:3, C:1, T:28.2676, F:1
JIT:: Q:3, C:1, T:27.5385, F:1
JIT:: Q:4, C:1, T:15.8972, F:1
JIT:: Q:4, C:1, T:15.4675, F:1
JIT:: Q:5, C:1, T:30.7236, F:1
JIT:: Q:5, C:1, T:31.0606, F:1
JIT:: Q:6, C:1, T:203.412, F:1
JIT:: Q:6, C:1, T:205.405, F:1
JIT:: Q:7, C:1, T:125.736, F:1
JIT:: Q:7, C:1, T:125.187, F:1
JIT:: Q:8, C:1, T:41.0188, F:1
JIT:: Q:8, C:1, T:41.3016, F:1
JIT:: Q:1, C:48, T:2.29333, F:10
JIT:: Q:1, C:48, T:2.35312, F:10
JIT:: Q:2, C:48, T:4.74728, F:10
JIT:: Q:2, C:48, T:4.72302, F:10
JIT:: Q:3, C:48, T:8.59181, F:10
JIT:: Q:3, C:48, T:8.61802, F:10
JIT:: Q:4, C:48, T:5.28734, F:10
JIT:: Q:4, C:48, T:5.26151, F:10
JIT:: Q:5, C:48, T:9.91274, F:10
JIT:: Q:5, C:48, T:9.90162, F:10
JIT:: Q:6, C:48, T:302.616, F:10
JIT:: Q:6, C:48, T:313.98, F:10
JIT:: Q:7, C:48, T:192.167, F:10
JIT:: Q:7, C:48, T:191.868, F:10
JIT:: Q:8, C:48, T:14.432, F:10
JIT:: Q:8, C:48, T:14.3994, F:10
JIT:: Q:1, C:8, T:6.80242, F:10
JIT:: Q:1, C:8, T:7.06663, F:10
