This is the log to confirm that all running times were as expected.

[type=JIT/CMP]:: Q:[query #],  C:[# cores], T:[real time elapsed], F:[# files]


JIT:: Q:1, C:48, T:1.25455, F:1
JIT:: Q:1, C:48, T:1.24511, F:1
JIT:: Q:1, C:48, T:2.80667, F:10
CMP:: Q:1, C:48, T:1.62512, F:10
CMP:: Q:2, C:48, T:3.96569, F:10
CMP:: Q:3, C:48, T:6.4544, F:10
CMP:: Q:4, C:48, T:6.14049, F:10
CMP:: Q:5, C:48, T:7.75572, F:10
CMP:: Q:6, C:48, T:32.5264, F:10
CMP:: Q:7, C:48, T:23.5994, F:10
CMP:: Q:8, C:48, T:10.5319, F:10
CMP:: Q:1, C:48, T:0.411802, F:1
CMP:: Q:2, C:48, T:0.681261, F:1
CMP:: Q:3, C:48, T:0.941754, F:1
CMP:: Q:4, C:48, T:0.895148, F:1
CMP:: Q:5, C:48, T:1.16507, F:1
CMP:: Q:6, C:48, T:3.52272, F:1
CMP:: Q:7, C:48, T:2.95991, F:1
CMP:: Q:8, C:48, T:1.46572, F:1
CMP:: Q:1, C:1, T:4.88175, F:1
CMP:: Q:2, C:1, T:13.4826, F:1
CMP:: Q:3, C:1, T:22.4918, F:1
CMP:: Q:4, C:1, T:21.3032, F:1
CMP:: Q:5, C:1, T:26.3377, F:1
CMP:: Q:6, C:1, T:105.971, F:1
CMP:: Q:7, C:1, T:73.1555, F:1
CMP:: Q:8, C:1, T:32.5412, F:1
CMP:: Q:1, C:8, T:0.790295, F:1
CMP:: Q:2, C:8, T:1.84759, F:1
CMP:: Q:3, C:8, T:3.07617, F:1
CMP:: Q:4, C:8, T:2.89868, F:1
CMP:: Q:5, C:8, T:3.61781, F:1
CMP:: Q:6, C:8, T:15.5354, F:1
CMP:: Q:7, C:8, T:11.3742, F:1
CMP:: Q:8, C:8, T:5.44687, F:1
CMP:: Q:1, C:8, T:6.66399, F:10
CMP:: Q:2, C:8, T:16.7611, F:10
CMP:: Q:3, C:8, T:28.4486, F:10
CMP:: Q:4, C:8, T:29.1464, F:10
CMP:: Q:5, C:8, T:36.6598, F:10
CMP:: Q:6, C:8, T:160.349, F:10
CMP:: Q:7, C:8, T:105.5, F:10
CMP:: Q:8, C:8, T:53.453, F:10
