CMP:: Q:1, C:1, T:455.402, F:100
CMP:: Q:1, C:1, T:462.337, F:100
CMP:: Q:2, C:1, T:1298.08, F:100
CMP:: Q:2, C:1, T:1297.57, F:100
CMP:: Q:1, C:48, T:12.6968, F:100
CMP:: Q:1, C:48, T:12.9028, F:100
CMP:: Q:2, C:48, T:35.5167, F:100
CMP:: Q:2, C:48, T:35.5504, F:100
CMP:: Q:3, C:48, T:59.8111, F:100
CMP:: Q:3, C:48, T:59.3378, F:100
CMP:: Q:4, C:48, T:56.6877, F:100
CMP:: Q:4, C:48, T:56.5869, F:100
CMP:: Q:5, C:48, T:73.4661, F:100
CMP:: Q:5, C:48, T:73.3448, F:100
CMP:: Q:6, C:48, T:278.634, F:100
CMP:: Q:3, C:1, T:2334.9, F:100
CMP:: Q:6, C:48, T:278.382, F:100
CMP:: Q:7, C:48, T:216.413, F:100
CMP:: Q:7, C:48, T:219.576, F:100
CMP:: Q:8, C:48, T:98.7125, F:100
CMP:: Q:8, C:48, T:97.2279, F:100
CMP:: Q:1, C:8, T:60.5806, F:100
CMP:: Q:1, C:8, T:60.2774, F:100
CMP:: Q:2, C:8, T:168.702, F:100
CMP:: Q:2, C:8, T:182.095, F:100
CMP:: Q:3, C:8, T:312.254, F:100
CMP:: Q:3, C:8, T:287.91, F:100
CMP:: Q:4, C:8, T:275.134, F:100
CMP:: Q:4, C:8, T:275.369, F:100
CMP:: Q:5, C:8, T:356.71, F:100
CMP:: Q:5, C:8, T:349.907, F:100
CMP:: Q:6, C:8, T:1412.68, F:100
CMP:: Q:6, C:8, T:1363.77, F:100
CMP:: Q:7, C:8, T:1091.39, F:100
CMP:: Q:7, C:8, T:1009.99, F:100
CMP:: Q:8, C:8, T:484.558, F:100
CMP:: Q:8, C:8, T:514.201, F:100
CMP:: Q:1, C:1, T:462.272, F:100
CMP:: Q:1, C:1, T:460.948, F:100
CMP:: Q:2, C:1, T:1314.69, F:100
CMP:: Q:2, C:1, T:1289.37, F:100
CMP:: Q:3, C:1, T:2199.4, F:100
CMP:: Q:3, C:1, T:2226.78, F:100
CMP:: Q:4, C:1, T:2097.13, F:100
CMP:: Q:4, C:1, T:2080.37, F:100
CMP:: Q:5, C:1, T:2564.07, F:100
CMP:: Q:5, C:1, T:2573.03, F:100
CMP:: Q:6, C:1, T:9261.46, F:100
CMP:: Q:6, C:1, T:9239.55, F:100
CMP:: Q:7, C:1, T:7103.41, F:100
CMP:: Q:7, C:1, T:7098.47, F:100
CMP:: Q:8, C:1, T:3179.32, F:100
CMP:: Q:8, C:1, T:3163.89, F:100
CMP:: Q:6, C:48, T:3.93183, F:1
CMP:: Q:4, C:8, T:29.167, F:100
CMP:: Q:4, C:8, T:29.495, F:100
CMP:: Q:4, C:8, T:27.4056, F:100
CMP:: Q:4, C:8, T:64.5788, F:100
CMP:: Q:4, C:8, T:63.6686, F:100
CMP:: Q:4, C:8, T:29.2248, F:100
CMP:: Q:4, C:8, T:29.2242, F:100
CMP:: Q:4, C:8, T:27.7061, F:100
CMP:: Q:4, C:8, T:25.291, F:100
CMP:: Q:4, C:8, T:27.9068, F:100
CMP:: Q:4, C:8, T:29.1587, F:100
CMP:: Q:4, C:8, T:27.6829, F:100
CMP:: Q:4, C:8, T:27.1342, F:100
CMP:: Q:4, C:8, T:29.0542, F:100
CMP:: Q:4, C:8, T:29.3408, F:100
CMP:: Q:4, C:8, T:29.0129, F:100
CMP:: Q:4, C:8, T:28.9538, F:100
CMP:: Q:4, C:8, T:28.9942, F:100
CMP:: Q:4, C:8, T:26.425, F:100
CMP:: Q:4, C:8, T:26.4575, F:100
CMP:: Q:4, C:8, T:28.5852, F:100
CMP:: Q:4, C:8, T:27.0119, F:100
CMP:: Q:4, C:8, T:28.8233, F:100
CMP:: Q:4, C:8, T:28.9514, F:100
CMP:: Q:4, C:8, T:26.4506, F:100
CMP:: Q:4, C:8, T:26.4708, F:100
CMP:: Q:4, C:8, T:28.9799, F:100
CMP:: Q:4, C:8, T:29.5423, F:100
CMP:: Q:4, C:8, T:26.9117, F:100
CMP:: Q:4, C:8, T:29.1146, F:100
CMP:: Q:4, C:8, T:29.1504, F:100
CMP:: Q:4, C:8, T:30.3546, F:100
