JIT:: Q:7, C:48, T:7.27536, F:1, O:1
JIT:: Q:7, C:48, T:4.67445, F:1, O:3
JIT:: Q:6, C:48, T:6.76491, F:1, O:3
JIT:: Q:6, C:48, T:14.6834, F:1, O:1
JIT:: Q:6, C:48, T:6.88787, F:1, O:3
JIT:: Q:6, C:48, T:7.09438, F:1, O:3
JIT:: Q:7, C:48, T:4.8186, F:1, O:3
JIT:: Q:7, C:48, T:4.74123, F:1, O:3
JIT:: Q:8, C:48, T:3.49168, F:1, O:3
JIT:: Q:8, C:48, T:3.42331, F:1, O:3
JIT:: Q:6, C:8, T:26.8072, F:1, O:3
JIT:: Q:6, C:8, T:26.1267, F:1, O:3
JIT:: Q:7, C:8, T:14.5055, F:1, O:3
JIT:: Q:7, C:8, T:14.6494, F:1, O:3
JIT:: Q:8, C:8, T:8.03119, F:1, O:3
JIT:: Q:8, C:8, T:7.93314, F:1, O:3
JIT:: Q:6, C:1, T:186.456, F:1, O:3
JIT:: Q:6, C:1, T:165.525, F:1, O:3
JIT:: Q:7, C:1, T:91.0557, F:1, O:3
JIT:: Q:7, C:1, T:90.2287, F:1, O:3
JIT:: Q:8, C:1, T:39.904, F:1, O:3
JIT:: Q:8, C:1, T:39.9046, F:1, O:3
JIT:: Q:6, C:48, T:53.2519, F:10, O:3
JIT:: Q:6, C:48, T:53.3818, F:10, O:3
JIT:: Q:7, C:48, T:29.6961, F:10, O:3
JIT:: Q:7, C:48, T:28.9822, F:10, O:3
JIT:: Q:8, C:48, T:14.4638, F:10, O:3
JIT:: Q:8, C:48, T:14.4798, F:10, O:3
JIT:: Q:6, C:8, T:244.938, F:10, O:3
JIT:: Q:6, C:8, T:256.134, F:10, O:3
JIT:: Q:7, C:8, T:135.743, F:10, O:3
JIT:: Q:7, C:8, T:139.634, F:10, O:3
JIT:: Q:8, C:8, T:64.2003, F:10, O:3
JIT:: Q:8, C:8, T:64.6663, F:10, O:3
JIT:: Q:6, C:1, T:1859.02, F:10, O:3
JIT:: Q:6, C:1, T:1837.23, F:10, O:3
JIT:: Q:7, C:1, T:906.6, F:10, O:3
JIT:: Q:7, C:1, T:880.47, F:10, O:3
JIT:: Q:8, C:1, T:383.466, F:10, O:3
JIT:: Q:8, C:1, T:382.054, F:10, O:3
JIT:: Q:6, C:48, T:13.7046, F:1, O:1
JIT:: Q:6, C:48, T:14.7263, F:1, O:1
JIT:: Q:7, C:48, T:7.51164, F:1, O:1
JIT:: Q:7, C:48, T:7.73245, F:1, O:1
JIT:: Q:8, C:48, T:4.28322, F:1, O:1
JIT:: Q:8, C:48, T:4.04288, F:1, O:1
JIT:: Q:6, C:8, T:57.5164, F:1, O:1
JIT:: Q:6, C:8, T:61.1184, F:1, O:1
JIT:: Q:7, C:8, T:27.2368, F:1, O:1
JIT:: Q:7, C:8, T:26.7985, F:1, O:1
JIT:: Q:8, C:8, T:11.5906, F:1, O:1
JIT:: Q:8, C:8, T:11.6499, F:1, O:1
JIT:: Q:6, C:1, T:439.684, F:1, O:1
JIT:: Q:6, C:1, T:460.801, F:1, O:1
JIT:: Q:7, C:1, T:187.666, F:1, O:1
JIT:: Q:7, C:1, T:187.972, F:1, O:1
JIT:: Q:8, C:1, T:67.9806, F:1, O:1
JIT:: Q:8, C:1, T:69.2575, F:1, O:1
JIT:: Q:6, C:48, T:124.877, F:10, O:1
JIT:: Q:6, C:48, T:130.266, F:10, O:1
JIT:: Q:7, C:48, T:54.659, F:10, O:1
JIT:: Q:7, C:48, T:54.7712, F:10, O:1
JIT:: Q:8, C:48, T:22.1672, F:10, O:1
JIT:: Q:8, C:48, T:21.8733, F:10, O:1
JIT:: Q:6, C:8, T:595.393, F:10, O:1
JIT:: Q:6, C:8, T:659.223, F:10, O:1
JIT:: Q:7, C:8, T:272.032, F:10, O:1
JIT:: Q:7, C:8, T:266.938, F:10, O:1
JIT:: Q:8, C:8, T:102.781, F:10, O:1
JIT:: Q:8, C:8, T:104.783, F:10, O:1
JIT:: Q:6, C:1, T:4429.04, F:10, O:1
JIT:: Q:6, C:1, T:4317.83, F:10, O:1
JIT:: Q:7, C:1, T:1864.61, F:10, O:1
JIT:: Q:7, C:1, T:1864.64, F:10, O:1
JIT:: Q:8, C:1, T:668.034, F:10, O:1
JIT:: Q:8, C:1, T:664.72, F:10, O:1
